execução: 6 | percentual médio: 2.4% | ordenação: 'Taxa de Crescimento'                                                       
execução: 6 | percentual médio: 4.8% | ordenação: 'Taxa de Crescimento'                                                       
execução: 6 | percentual médio: 7.3% | ordenação: 'Taxa de Crescimento'                                                       
execução: 6 | percentual médio: 9.7% | ordenação: 'Taxa de Crescimento'                                                       
execução: 6 | percentual médio: 12.2% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 14.6% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 17.0% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 19.5% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 21.9% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 24.4% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 26.8% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 29.3% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 31.7% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 34.1% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 36.6% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 39.0% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 41.5% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 43.9% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 46.4% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 48.8% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 51.2% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 53.7% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 56.1% | ordenação: 'Taxa de Crescimento'                                                      
execução: 6 | percentual médio: 58.6% | ordenação: 'Taxa de Crescimento'                                                      
execução: 5 | percentual médio: 61.0% | ordenação: 'Taxa de Crescimento'                                                      
execução: 5 | percentual médio: 62.8% | ordenação: 'Mais Tempo Executando'                                                    
execução: 5 | percentual médio: 64.6% | ordenação: 'Mais Tempo Executando'                                                    
execução: 5 | percentual médio: 66.3% | ordenação: 'Criação'                                                                
execução: 5 | percentual médio: 68.1% | ordenação: 'Criação'                                                                
execução: 4 | percentual médio: 69.9% | ordenação: 'Criação'                                                                
execução: 4 | percentual médio: 71.1% | ordenação: 'Quase Finalizando'                                                        
execução: 4 | percentual médio: 72.3% | ordenação: 'Quase Finalizando'                                                        
execução: 4 | percentual médio: 73.5% | ordenação: 'Quase Finalizando'                                                        
execução: 4 | percentual médio: 74.8% | ordenação: 'Taxa de Crescimento'                                                      
execução: 4 | percentual médio: 76.0% | ordenação: 'Taxa de Crescimento'                                                      
execução: 4 | percentual médio: 77.2% | ordenação: 'Taxa de Crescimento'                                                      
